architecture,family,design,coupling,N,p,g,se_A,se_B,sp_A,sp_B,R,valid_R,undefined_R,mean_A,mean_B,delta,bias,true_change,delta_sd,delta_mcse,mean_RC,ratio_of_means_RC,RC_q025,RC_q975,delta_q025,delta_q975,improve_5,improve_5_mcse,improve_5_lo,improve_5_hi,deteriorate_5,deteriorate_5_mcse,deteriorate_5_lo,deteriorate_5_hi,improve_10,improve_10_mcse,improve_10_lo,improve_10_hi,deteriorate_10,deteriorate_10_mcse,deteriorate_10_lo,deteriorate_10_hi,direction_reversal,direction_reversal_mcse,direction_reversal_lo,direction_reversal_hi,masked,masked_mcse,masked_lo,masked_hi,mean_naive_CI_width,naive_CI_excludes_zero,naive_CI_excludes_zero_mcse,naive_CI_excludes_zero_lo,naive_CI_excludes_zero_hi,expected_A,expected_B,expected_delta,expected_RC,analytic_z_delta,e,q,n_A,n_B,d_A,d_B,f_A,f_B
A,baseline_capture,repeated,shared,2000,0.05,0,0.6,1,1,1,10000,10000,0,0.02997025,0.0500364,0.02006615,0.02006615,-0,0.00614909182811,6.14909182811e-05,0.697145192417,0.669535622826,0.228538961039,1.31114583333,0.008,0.032,0.0001,9.9994999875e-05,1.76526736011e-05,0.000566268897401,0.9986,0.000373903730925,0.997651238854,0.999165837971,0,0,0,0.000383998370677,0.9959,0.000638998435053,0.994443005072,0.996976145344,0.9994,0.00024487547856,0.998691475904,0.999724986524,0.0001,9.9994999875e-05,1.76526736011e-05,0.000566268897401,0.0242376998721,0.9026,0.00296501669473,0.896633135798,0.908257668714,0.03,0.05,0.02,0.666666666667,1.07576861509,,,,,,,,
A,baseline_capture,paired,shared,2000,0.05,0,0.9,0.6,1,1,10000,10000,0,0.0449516,0.02997775,-0.01497385,-0.01497385,-0,0.00268750133839,2.68750133839e-05,-0.333146303455,-0.333110501072,-0.434782608696,-0.238636363636,-0.0205,-0.01,1,0,0.999616001629,1,0,0,0,0.000383998370677,1,0,0.999616001629,1,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0.0106030141165,1,0,0.999616001629,1,0.045,0.03,-0.015,-0.333333333333,0.973022771244,,,,,,,,
A,baseline_capture,paired,shared,2000,0.05,0,0.9,0.625,1,1,10000,10000,0,0.0449536,0.0312238,-0.0137298,-0.0137298,-0,0.00258703715399,2.58703715399e-05,-0.305437993452,-0.305421590262,-0.402298850575,-0.212112299465,-0.019,-0.009,1,0,0.999616001629,1,0,0,0,0.000383998370677,1,0,0.999616001629,1,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0.010155098296,1,0,0.999616001629,1,0.045,0.03125,-0.01375,-0.305555555556,0.780815999061,,,,,,,,
A,baseline_capture,paired,shared,2000,0.05,0,0.9,0.65,1,1,10000,10000,0,0.04493975,0.03245035,-0.0124894,-0.0124894,-0,0.00246915923236,2.46915923236e-05,-0.277893656826,-0.277914318615,-0.373337349398,-0.1875,-0.0175,-0.008,1,0,0.999616001629,1,0,0,0,0.000383998370677,1,0,0.999616001629,1,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0.00968696604766,1,0,0.999616001629,1,0.045,0.0325,-0.0125,-0.277777777778,0.429295926366,,,,,,,,
A,baseline_capture,paired,shared,2000,0.05,0,0.9,0.675,1,1,10000,10000,0,0.0449658,0.03371885,-0.01124695,-0.01124695,-0,0.00235950151986,2.35950151986e-05,-0.250096276104,-0.250122315182,-0.344444444444,-0.162790697674,-0.016,-0.007,1,0,0.999616001629,1,0,0,0,0.000383998370677,0.9998,0.000141407213395,0.999271004156,0.999945151073,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0.00919241385451,1,0,0.999616001629,1,0.045,0.03375,-0.01125,-0.25,0.129264591454,,,,,,,,
A,baseline_capture,paired,shared,2000,0.05,0,0.9,0.7,1,1,10000,10000,0,0.04495805,0.03498045,-0.0099776,-0.0099776,-0,0.00220851443138,2.20851443138e-05,-0.221939625309,-0.221931333766,-0.309523809524,-0.139534883721,-0.0145,-0.006,1,0,0.999616001629,1,0,0,0,0.000383998370677,0.9986,0.000373903730925,0.997651238854,0.999165837971,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0.00865816941052,1,0,0.999616001629,1,0.045,0.035,-0.01,-0.222222222222,1.01425644686,,,,,,,,
A,baseline_capture,paired,shared,2000,0.05,0,0.9,0.725,1,1,10000,10000,0,0.04495195,0.03621995,-0.008732,-0.008732,-0,0.00208720186881,2.08720186881e-05,-0.194217274497,-0.194251862266,-0.28,-0.114575892857,-0.013,-0.005,1,0,0.999616001629,1,0,0,0,0.000383998370677,0.9906,0.000964968393265,0.988511309047,0.992311911752,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0.00809609033415,1,0,0.999616001629,1,0.045,0.03625,-0.00875,-0.194444444444,0.862398614575,,,,,,,,
A,baseline_capture,paired,shared,2000,0.05,0,0.9,0.75,1,1,10000,10000,0,0.04495965,0.03747045,-0.0074892,-0.0074892,-0,0.00190986861323,1.90986861323e-05,-0.166573329045,-0.16657602984,-0.247311827957,-0.0927835051546,-0.0115,-0.004,0.9999,9.9994999875e-05,0.999433731103,0.999982347326,0,0,0,0.000383998370677,0.9613,0.00192879003523,0.957339079785,0.964906643318,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0.00749464142042,0.9999,9.9994999875e-05,0.999433731103,0.999982347326,0.045,0.0375,-0.0075,-0.166666666667,0.565483925186,,,,,,,,
A,baseline_capture,paired,shared,2000,0.05,0,0.9,0.775,1,1,10000,10000,0,0.04495515,0.03872805,-0.0062271,-0.0062271,-0,0.00175491696765,1.75491696765e-05,-0.138443503179,-0.138518056329,-0.213483146067,-0.070411971831,-0.01,-0.003,0.9953,0.00068395248373,0.993756112981,0.996463498233,0,0,0,0.000383998370677,0.8595,0.00347505035935,0.85255088774,0.866173017431,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0.00682466337961,0.998,0.000446766158074,0.996912649335,0.998704888287,0.045,0.03875,-0.00625,-0.138888888889,1.30490504235,,,,,,,,
A,baseline_capture,paired,shared,2000,0.05,0,0.9,0.8,1,1,10000,10000,0,0.0449579,0.0399642,-0.0049937,-0.0049937,-0,0.00159598403078,1.59598403078e-05,-0.110995842282,-0.111075027971,-0.18085106383,-0.0487804878049,-0.0085,-0.002,0.9734,0.00160911279903,0.970059781937,0.976376648406,0,0,0,0.000383998370677,0.611,0.00487523332775,0.60140383414,0.620510918222,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0.0001,9.9994999875e-05,1.76526736011e-05,0.000566268897401,0.00609596639525,0.9871,0.00112843209809,0.984693796024,0.989132112764,0.045,0.04,-0.005,-0.111111111111,0.394740791794,,,,,,,,
