n,kind,end,rule,R,signal_probability,mcse,wilson_lo,wilson_hi,detected_R,nondetected_R,mean_first_month_conditional,median_lag_conditional,mean_lag_conditional,restricted_mean_lag,mean_shift,shift_mcse
250,gradual,0.82,eight_same_side,10000,0.1132,0.00316837119038,0.107138053164,0.119559007976,1132,8868,39.214664311,14.0,14.214664311,22.8923,0.000458816666667,3.58091237656e-05
250,gradual,0.82,three_sigma,10000,0.1087,0.00311262445534,0.102748947653,0.114951569472,1087,8913,36.7792088316,12.0,11.7792088316,22.6716,0.000458816666667,3.58091237656e-05
250,gradual,0.85,eight_same_side,10000,0.1164,0.00320703975654,0.110261100251,0.122833503299,1164,8836,39.337628866,14.0,14.337628866,22.8753,0.00128066666667,3.59563271696e-05
250,gradual,0.85,three_sigma,10000,0.1331,0.00339682778486,0.126583016409,0.139898761596,1331,8669,37.3410969196,13.0,12.3410969196,22.4482,0.00128066666667,3.59563271696e-05
250,gradual,0.9,eight_same_side,10000,0.1388,0.00345737704047,0.132162247302,0.145715153121,1388,8612,40.1808357349,15.0,15.1808357349,22.7759,0.00251123333333,3.62464693405e-05
250,gradual,0.9,three_sigma,10000,0.1766,0.00381329830986,0.169250661007,0.184197709139,1766,8234,38.1993204983,14.0,13.1993204983,22.0926,0.00251123333333,3.62464693405e-05
250,gradual,0.95,eight_same_side,10000,0.1802,0.00384353951456,0.172790049103,0.187855556255,1802,8198,40.6709211987,16.0,15.6709211987,22.4991,0.00370771666667,3.65246743911e-05
250,gradual,0.95,three_sigma,10000,0.2258,0.00418108072154,0.217711421724,0.234099162983,2258,7742,39.1926483614,15.0,14.1926483614,21.7855,0.00370771666667,3.65246743911e-05
500,abrupt,0.8,eight_same_side,10000,0.1087,0.00311262445534,0.102748947653,0.114951569472,1087,8913,39.2916283349,14.0,14.2916283349,22.9447,4.2175e-05,2.51269205863e-05
500,abrupt,0.8,three_sigma,10000,0.0829,0.00275731010226,0.0776546015737,0.0884657298671,829,9171,36.369119421,11.0,11.369119421,22.9529,4.2175e-05,2.51269205863e-05
500,abrupt,0.82,eight_same_side,10000,0.1158,0.00319984937145,0.109675411547,0.122219652801,1158,8842,39.0690846287,14.0,14.0690846287,22.85,0.00101795,2.56142549262e-05
500,abrupt,0.82,three_sigma,10000,0.1123,0.00315735189676,0.106259977532,0.118637774804,1123,8877,36.500445236,12.0,11.500445236,22.5963,0.00101795,2.56142549262e-05
500,abrupt,0.85,eight_same_side,10000,0.154,0.00360948749825,0.147058508595,0.161207218277,1540,8460,38.9181818182,13.5,13.9181818182,22.4474,0.00246164166667,2.56085171725e-05
500,abrupt,0.85,three_sigma,10000,0.1733,0.00378506420025,0.166007226396,0.180843678139,1733,8267,36.0600115407,11.0,11.0600115407,21.7575,0.00246164166667,2.56085171725e-05
500,abrupt,0.9,eight_same_side,10000,0.3329,0.00471251090184,0.3237293651,0.342198967155,3329,6671,38.4037248423,13.0,13.4037248423,20.4725,0.00498418333333,2.60469564213e-05
500,abrupt,0.9,three_sigma,10000,0.3126,0.00463552844884,0.303587952021,0.321755970568,3126,6874,35.6839411388,10.0,10.6839411388,19.8374,0.00498418333333,2.60469564213e-05
500,abrupt,0.95,eight_same_side,10000,0.5559,0.00496865364058,0.546141998583,0.565615070399,5559,4441,37.7191940997,12.0,12.7191940997,17.729,0.007507425,2.6365073936e-05
500,abrupt,0.95,three_sigma,10000,0.5153,0.00499765855176,0.505500773151,0.525087476499,5153,4847,34.897729478,9.0,9.89772947797,16.7331,0.007507425,2.6365073936e-05
500,gradual,0.8,eight_same_side,10000,0.1154,0.00319504053182,0.109284982258,0.121810389289,1154,8846,39.2296360485,14.0,14.2296360485,22.8725,1.90166666667e-05,2.53666856146e-05
500,gradual,0.8,three_sigma,10000,0.0912,0.00287893313573,0.085713273168,0.0970006838999,912,9088,36.2675438596,11.0,11.2675438596,22.8388,1.90166666667e-05,2.53666856146e-05
500,gradual,0.82,eight_same_side,10000,0.1099,0.00312765071579,0.103919061744,0.116180533784,1099,8901,39.440400364,14.0,14.440400364,22.9494,0.000536058333333,2.53232574975e-05
500,gradual,0.82,three_sigma,10000,0.0985,0.00297989513238,0.0928127747127,0.104495575979,985,9015,36.9258883249,12.0,11.9258883249,22.8107,0.000536058333333,2.53232574975e-05
500,gradual,0.85,eight_same_side,10000,0.1257,0.00331510950045,0.119345893161,0.13234156802,1257,8743,39.6412092283,15.0,14.6412092283,22.8236,0.00125310833333,2.56706707146e-05
