architecture,family,design,N,g,c_A,c_B,specificity,mode,R,valid_R,undefined_R,mean_A,mean_B,delta,bias,true_change,delta_sd,delta_mcse,mean_RC,ratio_of_means_RC,RC_q025,RC_q975,delta_q025,delta_q975,improve_5,improve_5_mcse,improve_5_lo,improve_5_hi,deteriorate_5,deteriorate_5_mcse,deteriorate_5_lo,deteriorate_5_hi,improve_10,improve_10_mcse,improve_10_lo,improve_10_hi,deteriorate_10,deteriorate_10_mcse,deteriorate_10_lo,deteriorate_10_hi,direction_reversal,direction_reversal_mcse,direction_reversal_lo,direction_reversal_hi,masked,masked_mcse,masked_lo,masked_hi,population_OE_A,population_OE_B,expected_RC
B1,sample_size,paired,1000,0,0.7,0.9,0.995,independent,10000,10000,0,1.20843539696,1.05607222196,-0.152363175004,-0.152363175004,0,0.0217413205165,0.000217413205165,-0.125971417448,-0.126083012288,-0.147234713847,-0.104722400013,-0.198426231763,-0.112457886048,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,0.9918,0.00090181816349,0.989833895803,0.993388403399,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,1.20948842127,1.05708637666,-0.126005377092
B1,sample_size,paired,1000,0,0.7,1.0,0.995,independent,10000,10000,0,1.20843539696,0.990639354619,-0.217796042344,-0.217796042344,0,0.0286700130578,0.000286700130578,-0.180069580573,-0.18022977719,-0.203650557987,-0.15651982945,-0.277061128682,-0.164951395565,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,1.20948842127,0.991682690441,-0.180080873037
B2,sample_size,paired,1000,0,0.7,0.5,0.995,independent,10000,10000,0,1.007619706,1.12997022491,0.122350518905,0.122350518905,0,0.0174020789042,0.000174020789042,0.12142014606,0.121425293864,0.0993183368062,0.144941957947,0.0904048046512,0.158552011949,0.0,0.0,0.0,0.000383998370677,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,0.9705,0.0016920328011,0.966998723483,0.97363993405,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,1.00854084914,1.13090053486,0.121323480179
B2,sample_size,paired,1000,0,0.7,0.7,0.995,independent,10000,10000,0,1.007619706,1.007619706,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,1.0,0.0,0.999616001629,1.0,1.00854084914,1.00854084914,0.0
B2,sample_size,paired,1000,0,0.7,0.9,0.995,independent,10000,10000,0,1.007619706,0.90448705912,-0.103132646884,-0.103132646884,0,0.0144625193577,0.000144625193577,-0.102277265177,-0.102352749028,-0.119062749416,-0.0852685461015,-0.133558389022,-0.0766705108744,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,0.5995,0.00489999744898,0.589859741723,0.609063842601,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,1.00854084914,0.905385345576,-0.102281929041
B2,sample_size,paired,1000,0,0.7,1.0,0.995,independent,10000,10000,0,1.007619706,0.858821646181,-0.148798059823,-0.148798059823,0,0.0193239524139,0.000193239524139,-0.147561038467,-0.147672836226,-0.166612692342,-0.128638118388,-0.188433794671,-0.113276328276,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,1.00854084914,0.859743647669,-0.14753710928
B1,sample_size,paired,5000,0,0.7,0.5,0.995,independent,10000,10000,0,1.21072817992,1.4000935784,0.18936539848,0.18936539848,0,0.0122060485223,0.000122060485223,0.156408713676,0.15640620382,0.143299999239,0.170598626726,0.166425775781,0.21417917878,0.0,0.0,0.0,0.000383998370677,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,1.0,0.0,0.999616001629,1.0,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,1.20948842127,1.39867680489,0.1564201693
B1,sample_size,paired,5000,0,0.7,0.7,0.995,independent,10000,10000,0,1.21072817992,1.21072817992,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,1.0,0.0,0.999616001629,1.0,1.20948842127,1.20948842127,0.0
B1,sample_size,paired,5000,0,0.7,0.9,0.995,independent,10000,10000,0,1.21072817992,1.05801514577,-0.152713034154,-0.152713034154,0,0.00992305874504,9.92305874504e-05,-0.126105584339,-0.126133211968,-0.135902367176,-0.116368057325,-0.17303257055,-0.133870900165,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,1.20948842127,1.05708637666,-0.126005377092
B1,sample_size,paired,5000,0,0.7,1.0,0.995,independent,10000,10000,0,1.21072817992,0.992520224271,-0.218207955652,-0.218207955652,0,0.0130405310238,0.000130405310238,-0.180191055353,-0.180228691518,-0.191112624496,-0.169652574882,-0.244963680408,-0.193352831243,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,1.20948842127,0.991682690441,-0.180080873037
B2,sample_size,paired,5000,0,0.7,0.5,0.995,independent,10000,10000,0,1.00951688926,1.13197784306,0.122460953797,0.122460953797,0,0.00776396979935,7.76396979935e-05,0.121304438061,0.121306493333,0.111645618642,0.131671483858,0.107898692615,0.138195276983,0.0,0.0,0.0,0.000383998370677,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,1.0,0.0,0.999616001629,1.0,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,1.00854084914,1.13090053486,0.121323480179
B2,sample_size,paired,5000,0,0.7,0.7,0.995,independent,10000,10000,0,1.00951688926,1.00951688926,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,1.0,0.0,0.999616001629,1.0,1.00854084914,1.00854084914,0.0
B2,sample_size,paired,5000,0,0.7,0.9,0.995,independent,10000,10000,0,1.00951688926,0.906163831146,-0.103353058114,-0.103353058114,0,0.00660063739221,6.60063739221e-05,-0.102359482959,-0.102378731068,-0.11014449105,-0.0946764477821,-0.116951701458,-0.0908143466517,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,0.7243,0.00446866322293,0.715456708381,0.73297102995,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,1.00854084914,0.905385345576,-0.102281929041
B2,sample_size,paired,5000,0,0.7,1.0,0.995,independent,10000,10000,0,1.00951688926,0.860462035129,-0.149054854132,-0.149054854132,0,0.00879166393556,8.79166393556e-05,-0.147622773698,-0.147649688398,-0.156354360637,-0.139132810891,-0.167071360328,-0.132415493714,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,1.00854084914,0.859743647669,-0.14753710928
B1,sample_size,paired,10000,0,0.7,0.5,0.995,independent,10000,10000,0,1.20902103539,1.39817886567,0.189157830274,0.189157830274,0,0.00845105150273,8.45105150273e-05,0.156459960339,0.15645536739,0.146903085253,0.166084899068,0.172753633857,0.20590071599,0.0,0.0,0.0,0.000383998370677,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,1.0,0.0,0.999616001629,1.0,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,1.20948842127,1.39867680489,0.1564201693
B1,sample_size,paired,10000,0,0.7,0.7,0.995,independent,10000,10000,0,1.20902103539,1.20902103539,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,1.0,0.0,0.999616001629,1.0,1.20948842127,1.20948842127,0.0
B1,sample_size,paired,10000,0,0.7,0.9,0.995,independent,10000,10000,0,1.20902103539,1.05671827636,-0.152302759036,-0.152302759036,0,0.00689665880054,6.89665880054e-05,-0.125957948585,-0.12597196788,-0.132822611912,-0.119270119657,-0.166078384964,-0.139129992353,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,1.20948842127,1.05708637666,-0.126005377092
