architecture,family,design,coupling,N,p,g,se_A,se_B,sp_A,sp_B,R,valid_R,undefined_R,mean_A,mean_B,delta,bias,true_change,delta_sd,delta_mcse,mean_RC,ratio_of_means_RC,RC_q025,RC_q975,delta_q025,delta_q975,improve_5,improve_5_mcse,improve_5_lo,improve_5_hi,deteriorate_5,deteriorate_5_mcse,deteriorate_5_lo,deteriorate_5_hi,improve_10,improve_10_mcse,improve_10_lo,improve_10_hi,deteriorate_10,deteriorate_10_mcse,deteriorate_10_lo,deteriorate_10_hi,direction_reversal,direction_reversal_mcse,direction_reversal_lo,direction_reversal_hi,masked,masked_mcse,masked_lo,masked_hi,mean_naive_CI_width,naive_CI_excludes_zero,naive_CI_excludes_zero_mcse,naive_CI_excludes_zero_lo,naive_CI_excludes_zero_hi,expected_A,expected_B,expected_delta,expected_RC,analytic_z_delta,e,q,n_A,n_B,d_A,d_B,f_A,f_B
A,main,paired,shared,2000,0.05,0.0,0.8,0.85,1.0,1.0,10000,10000,0,0.0400149,0.04252645,0.00251155,0.00251155,-0.0,0.00113803387894,1.13803387894e-05,0.0635449573987,0.0627653698997,0.0123456790123,0.129411764706,0.0005,0.005,0.0,0.0,0.0,0.000383998370677,0.6584,0.00474246180796,0.649045706079,0.667632643237,0.0,0.0,0.0,0.000383998370677,0.1128,0.00316348162631,0.106747781867,0.119149586472,0.9912,0.000933946465275,0.989171535895,0.992851224106,0.0091,0.000949588858401,0.00741817853778,0.0111588310626,0.00425412304746,0.735,0.00441333207452,0.726260978628,0.743558542137,0.04,0.0425,0.0025,0.0625,1.01490827415,,,,,,,,
A,main,paired,shared,2000,0.05,0.0,0.8,0.875,1.0,1.0,10000,10000,0,0.0400149,0.0437843,0.0037694,0.0037694,-0.0,0.00139173177435,1.39173177435e-05,0.0953755031108,0.0941999105333,0.0326086956522,0.175675675676,0.0015,0.0065,0.0,0.0,0.0,0.000383998370677,0.9019,0.00297449810893,0.895914838608,0.907576503502,0.0,0.0,0.0,0.000383998370677,0.4131,0.00492390485286,0.403484488681,0.422782250236,0.9992,0.000282729552753,0.998422049747,0.99959456628,0.0009,0.000299864969611,0.000473577060585,0.00170973011302,0.00527207557311,0.9358,0.00245108873768,0.930826615932,0.940438691088,0.04,0.04375,0.00375,0.09375,1.39394676169,,,,,,,,
A,main,paired,shared,2000,0.05,0.0,0.8,0.9,1.0,1.0,10000,10000,0,0.0400149,0.0450398,0.0050249,0.0050249,-0.0,0.00160420925653,1.60420925653e-05,0.127137064277,0.125575723043,0.0512820512821,0.220593009931,0.002,0.0085,0.0,0.0,0.0,0.000383998370677,0.9782,0.00146029996918,0.975148900559,0.980883843399,0.0,0.0,0.0,0.000383998370677,0.7217,0.00448161923862,0.712832329288,0.730397405835,0.9999,9.9994999875e-05,0.999433731103,0.999982347326,0.0001,9.9994999875e-05,1.76526736011e-05,0.000566268897401,0.00611458555499,0.9884,0.00107076794872,0.986105826768,0.990319083624,0.04,0.045,0.005,0.125,1.55216658292,,,,,,,,
A,main,paired,shared,2000,0.05,0.0,0.8,0.925,1.0,1.0,10000,10000,0,0.0400149,0.0462907,0.0062758,0.0062758,-0.0,0.0017659689195,1.7659689195e-05,0.158866020395,0.156836578375,0.0740740740741,0.263176169591,0.003,0.01,0.0,0.0,0.0,0.000383998370677,0.9964,0.000598919026246,0.995020370056,0.997398396361,0.0,0.0,0.0,0.000383998370677,0.8986,0.0030185764857,0.892529793093,0.904364083406,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,0.00685135834109,0.9983,0.00041195994951,0.997279014585,0.998938292639,0.04,0.04625,0.00625,0.15625,1.46095436421,,,,,,,,
A,main,paired,shared,2000,0.05,0.0,0.8,0.95,1.0,1.0,10000,10000,0,0.0400149,0.04754855,0.00753365,0.00753365,-0.0,0.00193070335346,1.93070335346e-05,0.190696566107,0.188271119008,0.0963797497683,0.307712765957,0.004,0.0115,0.0,0.0,0.0,0.000383998370677,0.9997,0.000173179098046,0.999118264228,0.999897967801,0.0,0.0,0.0,0.000383998370677,0.968,0.00176,0.964366735569,0.971273841956,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,0.00751572551844,0.9998,0.000141407213395,0.999271004156,0.999945151073,0.04,0.0475,0.0075,0.1875,1.74288815212,,,,,,,,
A,main,paired,shared,2000,0.05,0.0,0.8,0.975,1.0,1.0,10000,10000,0,0.0400149,0.0488014,0.0087865,0.0087865,-0.0,0.00208863687375,2.08863687375e-05,0.222402994277,0.219580706187,0.118421052632,0.351351351351,0.005,0.013,0.0,0.0,0.0,0.000383998370677,0.9999,9.9994999875e-05,0.999433731103,0.999982347326,0.0,0.0,0.0,0.000383998370677,0.9916,0.000912657657613,0.989612858569,0.993209594233,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,0.00812145966732,1.0,0.0,0.999616001629,1.0,0.04,0.04875,0.00875,0.21875,1.7475512598,,,,,,,,
A,main,paired,shared,2000,0.05,0.0,0.8,1.0,1.0,1.0,10000,10000,0,0.0400149,0.0500601,0.0100452,0.0100452,-0.0,0.0022366285366,2.2366285366e-05,0.254241523505,0.251036488908,0.141301150895,0.391304347826,0.006,0.0145,0.0,0.0,0.0,0.000383998370677,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,0.9977,0.000479031314217,0.996550922518,0.998466845504,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,0.00868624788281,1.0,0.0,0.999616001629,1.0,0.04,0.05,0.01,0.25,2.02089883324,,,,,,,,
C,C1,paired,shared,2000,,0.0,,,,,10000,10000,0,0.59297328559,0.444662841168,-0.148310444422,-0.148310444422,0.0,0.0147465642406,0.000147465642406,-0.250121635161,-0.250113197384,-0.296829971182,-0.204967671317,-0.177859301192,-0.119932357953,0.0,0.0,0.0,0.000383998370677,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,1.0,0.0,0.999616001629,1.0,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,,,,,,0.592720970537,0.444540727903,-0.148180242634,-0.25,-0.882929646813,0.3,0.75,0.8,0.6,0.95,0.95,0.005,0.005
C,C1,paired,shared,2000,,0.0,,,,,10000,10000,0,0.592984246704,0.46335525507,-0.129628991634,-0.129628991634,0.0,0.0140110873503,0.000140110873503,-0.218612085895,-0.218604444139,-0.264789223144,-0.175438596491,-0.158172471641,-0.102915951973,0.0,0.0,0.0,0.000383998370677,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,1.0,0.0,0.999616001629,1.0,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,,,,,,0.592720970537,0.463063258232,-0.129657712305,-0.21875,0.204985312658,0.3,0.75,0.8,0.625,0.95,0.95,0.005,0.005
C,C1,paired,shared,2000,,0.0,,,,,10000,10000,0,0.592960263939,0.481742239739,-0.111218024201,-0.111218024201,0.0,0.013067542208,0.00013067542208,-0.187573523432,-0.187564042591,-0.231003279982,-0.147146942583,-0.137288135593,-0.0861478322567,0.0,0.0,0.0,0.000383998370677,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,1.0,0.0,0.999616001629,1.0,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,,,,,,0.592720970537,0.481585788562,-0.111135181976,-0.1875,-0.633954139561,0.3,0.75,0.8,0.65,0.95,0.95,0.005,0.005
