architecture,family,design,coupling,N,p,g,se_A,se_B,sp_A,sp_B,R,valid_R,undefined_R,mean_A,mean_B,delta,bias,true_change,delta_sd,delta_mcse,mean_RC,ratio_of_means_RC,RC_q025,RC_q975,delta_q025,delta_q975,improve_5,improve_5_mcse,improve_5_lo,improve_5_hi,deteriorate_5,deteriorate_5_mcse,deteriorate_5_lo,deteriorate_5_hi,improve_10,improve_10_mcse,improve_10_lo,improve_10_hi,deteriorate_10,deteriorate_10_mcse,deteriorate_10_lo,deteriorate_10_hi,direction_reversal,direction_reversal_mcse,direction_reversal_lo,direction_reversal_hi,masked,masked_mcse,masked_lo,masked_hi,mean_naive_CI_width,naive_CI_excludes_zero,naive_CI_excludes_zero_mcse,naive_CI_excludes_zero_lo,naive_CI_excludes_zero_hi,expected_A,expected_B,expected_delta,expected_RC,analytic_z_delta,e,q,n_A,n_B,d_A,d_B,f_A,f_B
A,sample_size,repeated,shared,500,0.05,0.0,0.8,0.9,1.0,1.0,10000,10000,0,0.039956,0.0450108,0.0050548,0.0050548,0.0,0.0127079009295,0.000127079009295,0.184824610017,0.126509160076,-0.384615384615,1.08333333333,-0.02,0.03,0.284,0.00450936802668,0.275246052547,0.292919834749,0.5954,0.00490814465964,0.585745357194,0.604981375916,0.2298,0.00420704124059,0.221659037466,0.238148475254,0.5286,0.00499181369845,0.518807115072,0.538370920221,0.6253,0.00484045359445,0.61576646995,0.634737300058,0.0585,0.00234686493007,0.05406752393,0.0632715466313,0.0498230086999,0.0663,0.00248805767618,0.061588129514,0.0713449506727,0.04,0.045,0.005,0.125,0.431227787373,,,,,,,,
A,sample_size,repeated,shared,1000,0.05,0.0,0.8,0.9,1.0,1.0,10000,10000,0,0.0399839,0.0450127,0.0050288,0.0050288,0.0,0.00898858442832,8.98858442832e-05,0.153632338305,0.125770622676,-0.255828861061,0.709792626728,-0.012,0.023,0.2129,0.00409357533215,0.204987768778,0.221032723087,0.6269,0.00483628359384,0.61737402379,0.636328517423,0.1505,0.00357560833985,0.143626204339,0.157642210522,0.5413,0.00498291390654,0.531519671501,0.551048610233,0.6899,0.00462534312241,0.680763020176,0.698891137243,0.0361,0.0018653897716,0.032618404149,0.0399378695393,0.0352966879985,0.0812,0.00273142014344,0.0760059459629,0.0867156910724,0.04,0.045,0.005,0.125,0.320406402473,,,,,,,,
A,main,repeated,shared,2000,0.05,0.0,0.8,0.9,1.0,1.0,10000,10000,0,0.04001675,0.04492695,0.0049102,0.0049102,-0.0,0.0063786953788,6.3786953788e-05,0.136657391056,0.12270361786,-0.161616161616,0.513898809524,-0.0070125,0.0175,0.1373,0.00344163783684,0.13069364729,0.144184905128,0.6701,0.00470176551946,0.660820928764,0.67924843499,0.0698,0.00254809654448,0.0649692456787,0.0749611465194,0.5512,0.00497371651786,0.541433886055,0.560926792511,0.7685,0.00421791121291,0.760130886731,0.776662906144,0.0231,0.00150221136995,0.0203337232629,0.0262325343831,0.0249735175271,0.1212,0.00326359556318,0.11494850308,0.127742414085,0.04,0.045,0.005,0.125,-1.40781138881,,,,,,,,
A,sample_size,repeated,shared,5000,0.05,0.0,0.8,0.9,1.0,1.0,10000,10000,0,0.03996804,0.0449451,0.00497706,0.00497706,0.0,0.00399144972704,3.99144972704e-05,0.129867225238,0.124525996271,-0.0660854760406,0.35,-0.003,0.0126,0.0404,0.00196895505281,0.0367141114358,0.0444388598666,0.769,0.00421472419026,0.760636937096,0.77715647178,0.0093,0.000959870303739,0.00759806350136,0.0113787924996,0.5951,0.00490872682067,0.585444332045,0.604682631465,0.8864,0.00317324817813,0.880031595134,0.892471650925,0.0447,0.00206644404715,0.0408216837143,0.048927985202,0.015800538158,0.2336,0.00423120597466,0.225410247216,0.241994347116,0.04,0.045,0.005,0.125,-0.574728521434,,,,,,,,
A,sample_size,repeated,shared,10000,0.05,0.0,0.8,0.9,1.0,1.0,10000,10000,0,0.04000694,0.04500137,0.00499443,0.00499443,0.0,0.00284985159974,2.84985159974e-05,0.127558457168,0.124839090418,-0.0139876516926,0.286864390958,-0.0006,0.0107,0.0053,0.000726079196782,0.00405452288778,0.00692540510017,0.8498,0.00357267350873,0.842663422073,0.856667932667,0.0002,0.000141407213395,5.48489273209e-05,0.000728995844007,0.6309,0.00482561073855,0.621393393875,0.640306075351,0.9568,0.00203307058412,0.952636749863,0.960612429225,0.0289,0.00167525490598,0.0257931122484,0.0323686910165,0.0111806701971,0.4173,0.00493113283131,0.40766871755,0.42699479578,0.04,0.045,0.005,0.125,-0.195448773561,,,,,,,,
