architecture,family,design,N,g,c_A,c_B,specificity,mode,R,valid_R,undefined_R,mean_A,mean_B,delta,bias,true_change,delta_sd,delta_mcse,mean_RC,ratio_of_means_RC,RC_q025,RC_q975,delta_q025,delta_q975,improve_5,improve_5_mcse,improve_5_lo,improve_5_hi,deteriorate_5,deteriorate_5_mcse,deteriorate_5_lo,deteriorate_5_hi,improve_10,improve_10_mcse,improve_10_lo,improve_10_hi,deteriorate_10,deteriorate_10_mcse,deteriorate_10_lo,deteriorate_10_hi,direction_reversal,direction_reversal_mcse,direction_reversal_lo,direction_reversal_hi,masked,masked_mcse,masked_lo,masked_hi,population_OE_A,population_OE_B,expected_RC
B1,main,repeated,2000,0,0.7,0.5,0.995,independent,10000,10000,0,1.20864129228,1.39838955239,0.189748260117,0.189748260117,-0,0.137987108522,0.00137987108522,0.163532319123,0.156993031207,-0.0622680736431,0.428849534747,-0.0811412697273,0.464847076127,0.0319,0.00175733861279,0.0286314025877,0.0355280966869,0.8238,0.00380990236095,0.816208788445,0.83114253421,0.0092,0.000954743944731,0.00750809330645,0.0112688394942,0.6847,0.00464635244036,0.675523864467,0.693734286535,0.9198,0.00271602577307,0.914314066251,0.924963528717,0.0274,0.00163245949414,0.0243773866715,0.0307855685884,1.20948842127,1.39867680489,0.1564201693
B1,main,repeated,2000,0,0.7,0.525,0.995,independent,10000,10000,0,1.20864129228,1.37225825234,0.16361696006,0.16361696006,-0,0.13641297995,0.0013641297995,0.141787204773,0.135372637941,-0.0791025722027,0.402146914922,-0.104783343824,0.43580120978,0.0462,0.00209917983984,0.0422570422586,0.0504914746626,0.7734,0.00418631628045,0.765090889462,0.781499140228,0.0146,0.00119945154133,0.01242858336,0.0171442022583,0.619,0.00485632577161,0.609437798541,0.628470809847,0.8883,0.00314996999986,0.881976450515,0.89432533635,0.0376,0.0019022681199,0.0340456732471,0.0415094484461,1.20948842127,1.37260641697,0.134865280912
B1,main,repeated,2000,0,0.7,0.55,0.995,independent,10000,10000,0,1.20864129228,1.34698207058,0.138340778306,0.138340778306,-0,0.134922430807,0.00134922430807,0.12075303891,0.114459748471,-0.0963995708599,0.375913454935,-0.127012001913,0.405555645857,0.0633,0.00243501765907,0.0586931158488,0.0682422683282,0.7153,0.00451271437164,0.706373879399,0.724060770903,0.0225,0.001483028995,0.0197714552453,0.0255952631987,0.5474,0.00497748169258,0.537627969907,0.557135627048,0.8508,0.00356285503494,0.843682267288,0.857648319456,0.0441,0.0020531729104,0.0402478856981,0.0483022440163,1.20948842127,1.347283377,0.11392829671
B1,main,repeated,2000,0,0.7,0.575,0.995,independent,10000,10000,0,1.20864129228,1.32238959809,0.113748305809,0.113748305809,-0,0.133521861605,0.00133521861605,0.100291304566,0.0941125431803,-0.112871915751,0.35146607962,-0.14931672258,0.379251104982,0.0875,0.00282566363886,0.0821189986152,0.0931978000406,0.6511,0.00476622271825,0.641701966508,0.660381989184,0.0328,0.00178112773265,0.0294845204126,0.0364742876649,0.4771,0.00499475314705,0.467321133096,0.486896454029,0.8078,0.00394029389767,0.799959549513,0.81540406109,0.0547,0.00227393733423,0.0504117353094,0.0593302536395,1.20948842127,1.32267821463,0.0935848507229
B1,main,repeated,2000,0,0.7,0.6,0.995,independent,10000,10000,0,1.20864129228,1.29844376922,0.0898024769435,0.0898024769435,-0,0.132193843501,0.00132193843501,0.0803718238088,0.0743003548839,-0.12815435921,0.32784967631,-0.16962121899,0.353485176815,0.1192,0.00324023702837,0.112995014617,0.125697438542,0.5873,0.00492319723351,0.577618982266,0.596913971618,0.0467,0.00210995521279,0.0427357618766,0.0510123710463,0.4071,0.00491293791941,0.397508274948,0.416763071949,0.7545,0.00430383259433,0.745967969072,0.762836575758,0.0591,0.00235811768154,0.0546452661166,0.0638933436467,1.20948842127,1.29876294931,0.0738118087525
B1,main,repeated,2000,0,0.7,0.625,0.995,independent,10000,10000,0,1.20864129228,1.27521676547,0.0665754731969,0.0665754731969,-0,0.130909733698,0.00130909733698,0.0610450543354,0.0550829047645,-0.144237208012,0.302825796584,-0.190278487531,0.328457139196,0.1567,0.00363517688703,0.149707159266,0.163956494015,0.5161,0.00499740722775,0.506300958255,0.525886676998,0.0648,0.00246172622361,0.0601402539954,0.0697939781865,0.3448,0.00475303019136,0.335545426681,0.354173766414,0.6953,0.00460280251586,0.68620509844,0.704244911797,0.0682,0.0025208879388,0.0634231276805,0.0733084933124,1.20948842127,1.27551099829,0.0545871922864
B1,main,repeated,2000,0,0.7,0.65,0.995,independent,10000,10000,0,1.20864129228,1.25253713382,0.0438958415383,0.0438958415383,-0,0.129658544311,0.00129658544311,0.0421733602782,0.0363183368124,-0.158978068813,0.279834033764,-0.211446290529,0.301180669937,0.2023,0.00401714712203,0.194541534473,0.210287098157,0.4448,0.00496943618532,0.43508312793,0.454559265491,0.0872,0.00282127914252,0.0818276988003,0.0928893302545,0.2852,0.00451509645523,0.276434371192,0.294130594508,0.6312,0.00482479595423,0.621694874681,0.640604364146,0.0678,0.00251402386624,0.063036719271,0.0728952089206,1.20948842127,1.25289709129,0.0358901079636
B1,main,repeated,2000,0,0.7,0.675,0.995,independent,10000,10000,0,1.20864129228,1.23048000459,0.0218387123091,0.0218387123091,-0,0.128504483378,0.00128504483378,0.0238228505252,0.0180688120195,-0.174011865336,0.258123319313,-0.231422376444,0.278374256967,0.2567,0.00436812442588,0.248233194335,0.265353659273,0.3816,0.00485779209106,0.372126087509,0.391164843306,0.1178,0.00322371152556,0.111627914295,0.12426561406,0.2281,0.00419607423671,0.219981171099,0.236427647215,0.5687,0.00495257821745,0.558968572411,0.578378666212,0.0778,0.00267856603428,0.0727107360319,0.0832135121923,1.20948842127,1.23089719135,0.017700682121
B1,main,repeated,2000,0,0.7,0.7,0.995,independent,10000,10000,0,1.20864129228,1.20914735856,0.000506066280572,0.000506066280572,-0,0.127322526679,0.00127322526679,0.00607451611695,0.000418706760893,-0.188193445278,0.234847214711,-0.25127789404,0.252840273552,0.3106,0.00462739278644,0.301604655933,0.319740802649,0.3224,0.00467395164716,0.313308926349,0.331627469872,0.1548,0.00361713920108,0.147843215604,0.162021896871,0.1806,0.00384686417748,0.1731833839,0.188261914259,0.497,0.00499990999919,0.487203390107,0.506798913883,0.0812,0.00273142014344,0.0760059459629,0.0867156910724,1.20948842127,1.20948842127,0
B1,main,repeated,2000,0,0.7,0.725,0.995,independent,10000,10000,0,1.20864129228,1.18836712664,-0.020274165637,-0.020274165637,-0,0.12615148333,0.0012615148333,-0.0112161427437,-0.0167743446849,-0.203202053885,0.21316672222,-0.2704045432,0.228640808308,0.3727,0.00483523225916,0.36327369554,0.382224070445,0.2648,0.00441226653773,0.256243621759,0.273537011074,0.1986,0.00398946161781,0.190897180777,0.206534293441,0.1407,0.00347711820334,0.134022856035,0.147653085195,0.4319,0.00495340680744,0.422219480323,0.441632820255,0.0735,0.00260955455969,0.0685475025018,0.0787800481083,1.20948842127,1.18864899532,-0.0172299507669
